state,year,max,mean
Idaho,2007,15047.931396484375,10.818246682484945
Idaho,2008,14570.8251953125,10.465594291687012
Idaho,2009,13665.907958984375,9.782879193623861
Idaho,2010,14030.739583333334,6.9325913190841675
Idaho,2011,13643.225667317709,6.744810263315837
Idaho,2012,13234.353515625,6.553073803583781
Idaho,2013,13545.298990885416,6.708281675974528
Idaho,2014,13667.818929036459,6.775658925374349
Idaho,2015,13390.789306640625,6.641348361968994
Idaho,2016,13126.733479817709,6.511791666348775
Idaho,2017,12966.419026692709,6.435236533482869
Idaho,2018,13375.592041015625,6.632192452748616
Idaho,2019,13130.47216796875,6.517044027646382
Idaho,2020,11844.670084635416,5.889216065406799
Idaho,2021,12675.331298828125,6.299909353256226
Idaho,2022,12840.654134114584,6.373462359110515
Louisiana,2000,341654.0598958333,20.16659339269002
Louisiana,2001,336457.1145833333,19.862735430399578
Louisiana,2002,339604.5416666667,26.83163579305013
Louisiana,2003,343214.8854166667,27.11657476425171
Louisiana,2004,347477.1536458333,23.228805700937908
Louisiana,2005,351451.5677083333,24.2547607421875
Louisiana,2006,344407.296875,23.774218400319416
Louisiana,2007,349932.8515625,24.147213617960613
Louisiana,2008,338838.3203125,23.370729128519695
Louisiana,2009,317796.0677083333,21.882360140482586
Louisiana,2010,326310.7317708333,20.017679850260418
Louisiana,2011,317298.2005208333,19.46996275583903
Louisiana,2012,307788.6171875,18.90102243423462
Louisiana,2013,315020.1536458333,19.346853733062744
Louisiana,2014,317869.25,19.531219164530437
Louisiana,2015,311426.2838541667,19.13956356048584
Louisiana,2016,305285.1380208333,18.764050324757893
Louisiana,2017,301556.5963541667,18.5389830271403
Louisiana,2018,311072.9348958333,19.115447998046875
Louisiana,2019,305371.9296875,18.774079004923504
Louisiana,2020,275467.8541666667,16.950138250986736
Louisiana,2021,294786.40234375,18.135642210642498
Louisiana,2022,298631.68359375,18.360091129938763
Massachusetts,2000,159711.90755208334,42.635361671447754
Massachusetts,2001,157282.53515625,41.99610455830892
Massachusetts,2002,158726.36067708334,41.11216036478678
Massachusetts,2003,160413.7890625,41.5485512415568
Massachusetts,2004,162466.98697916666,47.36197280883789
Massachusetts,2005,164286.84765625,42.10300095876058
Massachusetts,2006,160994.0234375,41.27278518676758
Massachusetts,2007,163576.90234375,41.91439247131348
Massachusetts,2008,158390.66536458334,40.55891704559326
Massachusetts,2009,148554.18619791666,37.949883778889976
Massachusetts,2010,152561.03385416666,38.714171727498375
Massachusetts,2011,148347.43229166666,37.65953063964844
Massachusetts,2012,143901.53645833334,36.57218805948893
Massachusetts,2013,147282.54166666666,37.43641376495361
Massachusetts,2014,148614.68880208334,37.801605542500816
Massachusetts,2015,145602.42578125,37.04737408955892
Massachusetts,2016,142731.24869791666,36.32222525278727
Massachusetts,2017,140988.07421875,35.89024257659912
Massachusetts,2018,145437.19791666666,36.99854024251302
Massachusetts,2019,142771.875,36.34585825602213
Massachusetts,2020,128790.84309895833,32.82784207661947
Massachusetts,2021,137822.90755208334,35.120964209238686
Massachusetts,2022,139620.583984375,35.54475084940592
Michigan,2000,486382.2552083333,32.59638770421346
Michigan,2001,478983.8307291667,32.11152172088623
Michigan,2002,483468.9348958333,31.766332626342773
Michigan,2003,488608.7083333333,32.156335989634194
Michigan,2004,494666.2864583333,30.59741481145223
Michigan,2005,500320.2994791667,29.368101119995117
Michigan,2006,490292.1979166667,28.814374287923176
Michigan,2007,498158.2838541667,29.253142197926838
Michigan,2008,482364.328125,28.31066958109538
Michigan,2009,452409.0104166667,26.516348044077557
Michigan,2010,464533.4791666667,28.95517857869466
Michigan,2011,451703.2994791667,28.185409545898438
Michigan,2012,438165.5026041667,27.39010492960612
Michigan,2013,448460.2578125,28.034173170725506
Michigan,2014,452516.1875,28.325955390930176
Michigan,2015,443344.0286458333,27.77871497472127
Michigan,2016,434601.5390625,27.291253248850506
Michigan,2017,429293.6067708333,27.026756127675373
Michigan,2018,442841.0026041667,27.84598398208618
Michigan,2019,434725.0729166667,27.373290220896404
Michigan,2020,392153.84375,24.72638686498006
Michigan,2021,419655.5807291667,26.416860580444336
Michigan,2022,425129.7213541667,26.74823013941447
Mississippi,2000,341654.0598958333,15.714776992797852
Mississippi,2001,336457.1145833333,15.47822372118632
Mississippi,2002,339604.5416666667,20.905532519022625
Mississippi,2003,343214.8854166667,21.127527077992756
Mississippi,2004,347477.1536458333,17.797336260477703
Mississippi,2005,351451.5677083333,20.07980219523112
Mississippi,2006,344407.296875,19.682331879933674
Mississippi,2007,349932.8515625,19.990594069163006
Mississippi,2008,338838.3203125,19.347078800201416
Mississippi,2009,317796.0677083333,18.11260525385539
Mississippi,2010,326310.7317708333,15.429186979929606
Mississippi,2011,317298.2005208333,15.007185459136963
Mississippi,2012,307788.6171875,14.569125890731812
Mississippi,2013,315020.1536458333,14.912834485371908
Mississippi,2014,317869.25,15.055250803629557
Mississippi,2015,311426.2838541667,14.753486474355062
Mississippi,2016,305285.1380208333,14.464089314142862
Mississippi,2017,301556.5963541667,14.290730714797974
Mississippi,2018,311072.9348958333,14.734820683797201
Mississippi,2019,305371.9296875,14.47197151184082
Mississippi,2020,275467.8541666667,13.06645925839742
Mississippi,2021,294786.40234375,13.980232318242392
