geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
HI,66244.24707940838,65069.4699065036,69964.14695371238,62484.94737900377,65449.814024198924,66473.42263701944,67868.2298476679,67046.53710296989,64798.20379032076,63247.36170657052,61513.97214315007,60574.705113475924,56813.43130488789,56168.48184089571,53399.986183274035,53612.51824707617,51895.27323596927,51633.10090060772,52442.97212195875,52887.22029370134,49114.77706095182,48559.47307576462,53502.899095400826
IA,3377.964924718966,3841.1874566164247,3284.116809959494,3162.929786531998,5293.803259657861,11719.087904418158,11740.03995385454,16192.057467179722,10572.58871939137,5933.406018995458,7890.570250782272,6633.852622371305,9313.575288353008,7166.473993952759,6283.55564390029,9051.411823740918,11720.79865459249,15885.523582804057,25426.721201821085,25866.31120640122,23954.018788246736,23638.61815212051,30312.360359527374
ID,2215.4374952617745,7004.437821162523,2756.521160313405,6128.323831130163,7893.6078145302245,7738.328698245124,7011.267621332967,8414.958391866496,8121.231278270311,8530.225692883658,8837.315429847027,6426.381255902872,9097.098948199984,15494.25040912494,12355.399533711341,17239.867501814817,14604.867456856988,13194.444253162239,14212.871378595495,18511.328181927096,18001.549593318377,21498.774878942168,19493.46043472355
IL,31798.019592617515,39797.15477586002,46034.54610466623,28005.697987861713,24489.97949386209,35200.6093689839,25039.822465174675,35467.751876461436,20322.92363936773,19584.57657671919,26330.113258955625,27023.25500346694,48728.2930270757,29471.686374927154,24590.749783969073,46386.23032303017,79462.13582398894,77340.2922009175,75746.2443788628,93542.37871959178,126481.293941031,93809.91860864121,79230.39260960298
IN,20115.362518711914,17080.82294348785,29054.140468312395,22584.54968073928,19607.64860196335,24660.25986885791,19289.073462268854,24255.102499488105,23044.282621182785,24012.088717927192,36961.150405943474,59292.87878149038,72377.75639715264,59193.81611448983,60975.988613706264,86951.64342379071,105461.62800904726,78324.94199405635,113174.98478571505,128038.56816209268,133407.1701846637,119233.47360429507,134080.23287650017
KS,22007.302674967515,18237.651054709633,15986.629847592889,15840.772737389661,13537.236361195122,16665.73563785728,13058.491920464881,16806.53512283499,16574.57968320875,19550.78780708687,17119.484960850827,17665.078563355924,18328.956610946443,13530.999387880915,11032.671306680972,9104.267767907502,11960.272159315353,12220.515367161974,16284.75428562336,16339.12260612914,14189.56231161384,14132.240649754736,17877.749355625318
KY,4113.599775589533,3889.3457018613594,51939.20875074823,39174.02711276865,45778.939727005934,52799.99302591105,46725.89382215133,43445.571751254334,38954.031132749384,28313.89197787433,36424.77002105194,27922.920128968137,34312.64778114925,24234.280428286504,28251.650697640187,40651.21296176822,50647.83904594605,51216.14809213903,63443.5543909402,63580.69572964,58175.81311139666,60671.72692505018,76402.2945937641
LA,189090.9050288302,168197.568201808,196814.14165418132,159373.8548224075,169420.04819741496,190994.2108862388,130552.6849167664,147817.27413057306,152973.77188521507,139310.72811963802,180083.91812565396,208379.03217452078,206174.1342665134,194992.21515784765,197533.51005223315,231100.4350313638,232555.07951526667,202638.60892962618,211336.44725677674,223272.83798453532,232382.4621583206,216631.19945200183,233275.64388445424
MA,128079.25587230819,130359.51998940125,131937.42513480954,160368.26580296765,150985.5942309802,146727.97472650596,127555.92795958815,140435.4888127685,117328.43833938074,104526.56120081682,119117.66690672639,116920.75852510461,113536.26492755661,103399.83880298786,96323.04774025595,106691.02073798694,103128.3920678206,105437.96609173622,90879.51186966452,76439.89751877142,71125.6233244874,75319.15450582074,82295.82618912112
MD,42806.881716211836,42945.53211622118,39284.92280493368,42006.58182704082,39585.51591042443,48328.20858187475,23233.147207520517,27160.521129679055,20405.401961281008,19827.53631483747,26598.912773670185,20774.217305064543,35508.209972644436,23262.276453065042,23471.530544250043,31371.33397743407,36574.51840582345,36191.38466191051,62634.76203693478,60707.54036639729,59957.535256372495,61861.49960269696,60801.485266972646
ME,34734.84152269411,55991.02437252177,56637.19653160262,45918.16209221221,43228.0547670152,36755.96070773084,27302.00448205275,26108.807755793463,25715.22847042975,26583.243070824796,28251.555169963824,23553.251058038753,20248.654462773957,16394.239418302488,18476.566768763583,17149.38378711854,16238.872298949978,11566.780201008907,11473.057386663286,7728.435726019717,7858.799610554998,13068.187522715589,18117.423162172712
