geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
HI,74103.70182064374,72588.0640245919,76783.83797531806,80961.62000436426,85168.76118141414,93919.4957906619,96772.602652031,89799.38967291018,77034.23258998648,71359.8833186005,80044.91016644948,83202.83704749553,82492.23444119519,85552.97763433635,86858.057455977,87244.84324599052,88232.21261631702,91846.88255829018,91122.3302069704,93994.19959701187,60865.970054141195,81007.55529802025,85082.24192492306
IA,205882.19814538144,203622.05338876898,208883.7438747078,211291.68912641864,217988.91782080405,218285.35446875327,220684.6344177861,222972.86235803438,218112.26594967349,210916.64585870606,214886.43123378084,216082.24605180178,206930.17294414647,207397.7152244599,215887.80908444143,210459.71550172084,221585.55895954045,211970.25353330438,216064.6460091296,214748.60082552492,198920.45927351768,210271.76858690163,208961.09221302255
ID,90594.50915595665,88610.19221448706,90332.52712463893,87798.1901200313,89613.55221342361,89300.69155529063,93920.43170761406,96801.78922147743,90138.3901243158,88377.46728637675,94264.884998936,90344.46721263877,91426.27865214436,91665.82007363759,94057.03080772138,96183.08301816933,100392.44600487553,102465.47850015914,101882.94556953108,105288.53973609999,102904.70055816024,111142.23857763826,109515.40114127654
IL,699487.9591708098,680545.232433095,683329.2745524091,690104.911847643,712744.1622317951,766835.0468423032,732536.2541436978,731514.6925394239,690962.127130399,667530.2821824695,662479.734861359,652260.6908017766,630775.0255350346,633730.2029607074,649004.6792138153,699040.1568860924,662608.1485907807,663579.4166778168,665077.4811124009,644430.3300924152,534610.6897353901,588308.6177898058,577303.7323824206
IN,486772.0227513246,445277.62291013636,483039.2476290023,468258.29151427955,469786.78399352054,468330.62417992705,469252.88627843367,463523.79533382517,436927.0169399449,411653.57999255706,416710.4072406268,407058.36763056146,401807.92621596414,395576.1018015371,410224.8487783047,414960.9549822832,414236.3521371611,410830.6409366873,407676.74552284105,401075.7768003861,371890.64628192026,410537.5039830504,396925.09064594685
KS,192649.36740240705,181093.54014065646,183855.90244858773,201602.60636802146,193478.05063498774,175900.20581079464,185257.6038633934,190201.88517130126,186741.04099142077,185115.52206171412,185341.1715192431,178692.60908670412,172176.03087198787,174581.52621986478,183239.2154571813,174792.66284783487,174347.92712761858,164768.65300652897,176801.32073924225,180756.34923952178,167669.4237990009,168331.0240021372,173241.41528054763
KY,313403.2192496103,315113.6102541022,324406.0961644816,323312.48613848345,334462.0227346564,322815.4228292061,318105.9283343642,323835.31451582594,303842.3392313988,305025.5945224035,306981.48703433864,299665.0899294407,292288.746654942,285064.2599588711,296034.1354959,296012.8155075771,297783.6607473141,303482.7432848878,316133.08791051107,313709.0480331221,294895.78775973903,322844.446217598,319233.2185218845
LA,455305.67061184836,401628.2135300576,419208.6508228193,421840.9292422557,406271.8977621391,392505.3409995549,419074.5087235471,383058.71185699,354310.28186591185,346944.2600477755,306206.3157043885,310569.95985011297,299129.3948020257,295145.6485891884,292257.0993963861,282897.6870233673,303236.6793669175,316668.8252565552,318859.7547703054,342310.643287354,320400.28628718003,386982.37032304384,414300.8505106381
MA,327190.44190704834,322204.21537421196,322522.4880632295,327851.5713775998,334762.6326714037,333062.46407649806,324070.5785671931,329393.7187650997,318165.972316232,300916.03347492346,305587.43298108515,304330.15722728247,302396.8795352641,305479.8807185243,299971.7851157471,307929.7931385383,314101.48673693347,310056.2347629131,315480.2599296851,315504.9180749073,241030.99951693002,273689.6537533956,279481.0444785732
MD,296230.3158560453,297192.34883363085,296884.2283055276,306982.3493200042,316031.4273018285,322105.70559347764,321166.84835202,318838.77539582696,305051.2979607166,313680.83055563574,306594.00171208073,299778.17076444393,301647.59318489645,301222.9298988473,301456.55743176,310044.94963260595,302305.9925364905,300254.46271255706,310203.16649136774,311175.3579258201,258192.51029744395,286647.1819882962,264317.48673128773
ME,87383.73750269196,77008.42236145506,87503.8484652103,96799.8956929529,87819.04756775271,91689.79577006138,90728.62239883219,88340.47410943262,82648.27509625706,83227.40245286847,81056.63672676549,81316.85058592382,77320.45941221807,84923.10099979962,85892.62364864846,84446.08700551097,84955.40503523817,78035.5748962634,72000.17455648234,70684.23978271977,65202.10879444772,70507.62601182183,71842.96797112717
MI,601372.423954493,591720.3003565741,604879.8073624418,589748.35626164,588292.7402601561,577517.4316365754,564123.9941193796,552468.3558382839,515518.4041500735,501385.4242995925,508726.1607072668,498741.1104810503,493700.96328846616,504560.2859537491,504346.39797207364,511571.7044166313,517438.1736680419,508816.4757108481,527819.9803980428,513375.31618917023,436085.9800821922,475975.32136824727,472372.4871446691
MN,362795.53976544476,357145.3198858781,363018.2264780189,367264.23223083414,370942.487595796,366653.58503433934,354464.22886026127,351627.57259168033,338330.6033852969,315399.7580544592,314329.07466681843,306135.2854975759,311218.29607717675,304106.36705897265,310442.49048359704,302177.6051314995,326666.0460800233,329001.8837041489,331569.97922602226,330741.06291123346,270534.97696553956,292386.60708511865,290565.836889162
MO,411048.646324367,406303.5327617721,420592.29690177663,430977.48886610934,420657.8989021213,425786.81736352737,425833.6761290211,428207.0180838144,408632.25454717845,391376.7671629285,396257.28416634526,386115.4712982328,376228.3129369219,369535.8890697925,384098.0055420603,378808.2976542526,387849.4890549482,385957.2355845803,392222.853400959,388645.0264802704,352894.07201337034,377976.80581464444,371150.5693358649
MS,249795.20006984926,240605.82491829077,242766.34384489147,257527.5071963981,244505.92304120728,242150.30781173919,249531.20179231654,243108.4022717462,236493.4052732575,221135.85073513654,216742.15542851834,212063.65418623685,227858.6973654453,207066.97763179033,215732.04863135132,220036.8081715461,229364.0546041941,224977.15691731372,229835.34793642984,232350.67436243943,223265.2454498504,236892.13797674928,236700.3384204973
MT,73752.90327275063,74105.0471631973,75239.32208831457,77220.89647794665,78241.42478780699,79684.94860756013,80777.58890036409,81510.75420157275,77063.90823274755,74000.06999487759,77121.20492211872,76764.2172016313,77966.1765849373,76829.08993830992,77687.93806209788,76324.30195312617,76430.24827306197,76849.7996996131,77726.67692592504,76402.31889892751,74922.50057385006,81019.20609924421,77783.20358111852
NC,523579.19189681666,509568.9219102672,514621.37991614046,532949.6390734141,540153.3183189617,542374.4169503436,535250.7862467861,542502.3116722518,512056.5676948391,488824.63248830615,524817.5289675216,511883.7587704122,491962.9902237588,497252.3915777945,513698.63671337045,521678.47410570853,541458.3540430256,546706.7681968759,557072.1639739214,565316.874973308,511351.573256853,558764.6144054199,549886.8602414178
